,ACCOUNTNO,des_all,count
0,010010001,[nan],1
1,010020001,[nan],1
2,010030001,[nan],1
3,010040001,[nan],1
4,010040002,[nan],1
5,010040003,[nan],1
6,010040004,[nan],1
7,010040005,[nan],1
8,010040006,[nan],1
9,010040007,[nan],1
10,010040008,[nan],1
11,010040009,[nan],1
12,010040010,[nan],1
13,010040011,[nan],1
14,010040012,[nan],1
15,010040013,[nan],1
16,010040014,[nan],1
17,010040015,[nan],1
18,010040016,[nan],1
19,010040017,[nan],1
20,010040018,[nan],1
21,010040019,[nan],1
22,010040020,[nan],1
23,010040021,[nan],1
24,010040022,[nan],1
25,010040023,[nan],1
26,010040024,[nan],1
27,010040025,[nan],1
28,010040026,[nan],1
29,010040027,[nan],1
30,010040028,[nan],1
31,010040029,[nan],1
32,010040030,[nan],1
33,010040031,[nan],1
34,010040032,[nan],1
35,010040033,[nan],1
36,010040034,[nan],1
37,010040035,[nan],1
38,010040036,[nan],1
39,010040037,[nan],1
40,010040038,[nan],1
41,010040039,[nan],1
42,010050001,[nan],1
43,010050003,[nan],1
44,010050004,[nan],1
45,010050006,[nan],1
46,010050008,[nan],1
47,010050016,[nan],1
48,010050017,[nan],1
49,010050018,['Ranch 1 Story'],1
50,010050021,['Ranch 1 Story'],1
51,010050024,['Ranch 1 Story'],1
52,010050025,['2 Story'],1
53,010050026,['Church'],1
54,010050029,[nan],1
55,010050030,[nan],1
56,010050033,['Ranch 1 Story'],1
57,010050041,['1.5 Story Fin'],1
58,010050043,['Ranch 1 Story'],1
59,010050045,[nan],1
60,010050046,['2 Story'],1
61,010060801,['Ranch 1 Story'],1
62,010060802,['Ranch 1 Story'],1
63,010060803,['Ranch 1 Story'],1
64,010060804,['2 Story'],1
65,010060805,['Ranch 1 Story'],1
66,010060806,['Ranch 1 Story'],1
67,010060808,['2 Story'],1
68,010060809,['2 Story'],1
69,010060810,['Ranch 1 Story'],1
70,010060811,['Ranch 1 Story'],1
71,010060813,['Split Level'],1
72,010060814,['2 Story'],1
73,010060815,['Ranch 1 Story'],1
74,010060816,['2 Story'],1
75,010060817,['2 Story Split'],1
76,010060818,['Split Level'],1
77,010060901,['2 Story'],1
78,010060902,['Ranch 1 Story'],1
79,010060903,['2 Story'],1
80,010060904,['Ranch 1 Story'],1
81,010060905,['2 Story Split'],1
82,010060906,['Ranch 1 Story'],1
83,010060907,['2 Story'],1
84,010060908,['2 Story'],1
85,010060909,['2 Story'],1
86,010060910,['Ranch 1 Story'],1
87,010060911,['2 Story Split'],1
88,010060912,['2 Story Split'],1
89,010060913,['2 Story'],1
90,010060914,['Ranch 1 Story'],1
91,010060915,['Ranch 1 Story'],1
92,010060916,['Ranch 1 Story'],1
93,010060917,['2 Story'],1
94,010060918,['2 Story'],1
95,010060919,['Ranch 1 Story'],1
96,010060920,['Ranch 1 Story'],1
97,010060921,['Bi Level'],1
98,010060922,['2 Story Split'],1
99,010060923,['Ranch 1 Story'],1
100,010060924,['Ranch 1 Story'],1
101,010060926,['Ranch 1 Story'],1
102,010060928,['2 Story'],1
103,010060929,['Ranch 1 Story'],1
104,010060930,['Ranch 1 Story'],1
105,010060931,['Ranch 1 Story'],1
106,010060932,['2 Story'],1
107,010060933,['Ranch 1 Story'],1
108,010060934,['Ranch 1 Story'],1
109,010060937,['2 Story'],1
110,010060938,['2 Story'],1
111,010060939,['Ranch 1 Story'],1
112,010060940,['2 Story'],1
113,010060941,['2 Story'],1
114,010080404,['2 Story'],1
115,010080407,['1.5 Story Fin'],1
116,010080408,['Ranch 1 Story'],1
117,010080409,['2 Story Split'],1
118,010080410,['Ranch 1 Story'],1
119,010080411,['Ranch 1 Story'],1
120,010080412,['Ranch 1 Story'],1
121,010080415,['Ranch 1 Story'],1
122,010080416,['2 Story'],1
123,010080417,['Ranch 1 Story'],1
124,010080418,['2 Story'],1
125,010080419,['2 Story'],1
126,010080501,['Ranch 1 Story'],1
127,010080502,['Ranch 1 Story'],1
128,010080503,['2 Story'],1
129,010080504,['Ranch 1 Story'],1
130,010080505,['2 Story'],1
131,010080506,['Ranch 1 Story'],1
132,010080507,['Ranch 1 Story'],1
133,010080508,['Bi Level'],1
134,010080509,['Ranch 1 Story'],1
135,010080510,['Ranch 1 Story'],1
136,010080511,['Ranch 1 Story'],1
137,010080512,['Ranch 1 Story'],1
138,010080513,['Split Level'],1
139,010080514,['Ranch 1 Story'],1
140,010080515,['Bi Level'],1
141,010080516,['Split Level'],1
142,010080517,['2 Story'],1
143,010080518,['2 Story Split'],1
144,010080519,['2 Story'],1
145,010080520,['2 Story'],1
146,010080521,['2 Story'],1
147,010080522,['Ranch 1 Story'],1
148,010080523,['2 Story'],1
149,010080524,['2 Story'],1
150,010080525,['2 Story Split'],1
151,010080526,['2 Story'],1
152,010080530,['Ranch 1 Story'],1
153,010080531,['2 Story'],1
154,010080532,['2 Story Split'],1
155,010080533,['Ranch 1 Story'],1
156,010080534,['Ranch 1 Story'],1
157,010100936,['Ranch 1 Story'],1
158,010100937,['2 Story'],1
159,010100938,['2 Story'],1
160,010100939,['2 Story'],1
161,010100941,['2 Story Split'],1
162,010100942,['Ranch 1 Story'],1
163,010100943,['Ranch 1 Story'],1
164,010100944,['Ranch 1 Story'],1
165,010100945,['Bi Level'],1
