ACCOUNTNO,des_all,count,class,notes
80880083,"['Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Office Building', 'Restroom Building/Concessions', 'Museum', 'Restroom Building/Concessions', 'Restroom Building/Concessions', 'Restroom Building/Concessions', 'Restroom Building/Concessions', 'Restroom Building/Concessions', 'Storage Warehouse', 'Retail Store', 'Restroom Building/Concessions', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Office Building', 'Fast Food Restaurant', 'Pavilions', 'Restroom Building/Concessions', 'Storage Warehouse', 'Office Building', 'Office Building', 'Storage Warehouse', 'Storage Warehouse', 'Office Building', 'Church', 'Pavilions', 'Storage Warehouse', 'Office Building', 'Restroom Building/Concessions', 'Restroom Building/Concessions', 'Pavilions', 'Storage Warehouse', 'Storage Warehouse']",39,retail,lagoon
120660081,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",36,apartment,
60290006,"['Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin']",31,open_Space,wetlands
120210032,"['Indust Lght Manufacturing', 'Service Garage', 'Storage Warehouse', 'Storage Warehouse', 'Industrial Flex Mall Building', 'Service Garage', 'Storage Warehouse', 'Service Garage', 'Storage Warehouse', 'Distribution Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Distribution Warehouse', 'Storage Warehouse', 'Light Commercial Utility', 'Storage Warehouse', 'Distribution Warehouse', 'Fast Food Restaurant', 'Office Building', 'Distribution Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Distribution Warehouse', 'Light Commercial Utility', 'Light Commercial Utility']",27,industrial,
90350047,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Office Building', 'Pavilions']",26,apartment,
91190020,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse']",24,apartment,
30210173,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",22,apartment,
90210042,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Storage Warehouse']",21,apartment,
90370060,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Light Commercial Utility', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse']",21,apartment,
120730127,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Office Building', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",21,apartment,
