OBJECTID,Type_WFRC,SUBTYPE_WFRC,PARCEL_ID,COUNT_PARCEL_ID,TOTAL_MKT_VALUE,LAND_MKT_VALUE,PARCEL_ACRES,HOUSE_CNT,parcel_count,ap_count,BLDG_SQFT,FLOORS_CNT,BUILT_YR,des_all,CITY,UNIT_COUNT,BUILT_DECADE
1,single_family,pud,116940001,1.0,5945112.0,1113112.0,2.75735188445034,1,13,12,1924.0,1.0,2013.0,['Ranch 1 Story'],Layton,12,2010's
2,single_family,pud,114580129,1.0,8320088.0,1838898.0,12.7081279325346,1,21,25,0.0,0.0,2004.0,[nan],Layton,25,2000's
3,single_family,pud,114800413,2.0,12129395.0,2868395.0,7.50348034936074,1,28,33,0.0,0.0,2008.0,[nan],Layton,33,2000's
4,single_family,pud,094010101,1.0,10915650.0,1740450.0,5.33849039024091,1,33,29,1688.0,1.0,2015.0,['Ranch 1 Story'],Layton,29,2010's
5,single_family,pud,103120110,1.0,10119743.0,1643343.0,4.6331413446302,1,34,54,2358.0,2.0,2018.0,['2 Story'],Layton,54,2010's
6,single_family,pud,103050101,1.0,3473405.0,547605.0,1.17856646916001,1,11,18,2469.0,2.0,2017.0,['2 Story'],Layton,18,2010's
7,single_family,pud,093420045,1.0,7275865.0,1176315.0,3.9071667864918,1,24,30,1790.0,1.0,2007.0,['Ranch 1 Story'],Layton,30,2000's
8,single_family,pud,093480022,1.0,1334000.0,204000.0,0.765395859477987,1,4,8,1980.0,1.0,2007.0,['Ranch 1 Story'],Layton,8,2000's
9,single_family,pud,092190001,1.0,7330497.0,1366321.0,4.98311846166701,1,31,62,1720.0,1.0,1996.0,['Ranch 1 Story'],Clearfield,62,1990's
10,single_family,single_family,090210001,1.0,254000.0,62236.0,0.287618157449024,1,,0,1728.0,1.0,1976.0,['Bi Level'],Clearfield,1,1970's
11,single_family,single_family,090210002,1.0,338000.0,66101.0,0.312518209520676,1,,0,2499.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
12,single_family,single_family,090210003,1.0,221000.0,66101.0,0.314663118450219,1,,0,1490.0,1.0,1977.0,['Bi Level'],Clearfield,1,1970's
13,single_family,single_family,090210005,1.0,239000.0,61575.0,0.288966870805197,1,,0,1316.0,1.0,1975.0,['Ranch 1 Story'],Clearfield,1,1970's
14,single_family,single_family,090210007,1.0,249000.0,71025.0,0.365333995099001,1,,0,2805.0,2.0,1978.0,['2 Story'],Clearfield,1,1970's
15,single_family,single_family,090210008,1.0,275000.0,68608.0,0.35983478191497,1,,0,1107.0,1.0,1977.0,['Bi Level'],Clearfield,1,1970's
16,single_family,single_family,090210013,1.0,221000.0,63542.0,0.299163337996926,1,,0,1210.0,1.0,1969.0,['Bi Level'],Clearfield,1,1960's
17,single_family,single_family,090210014,1.0,233000.0,75724.0,0.405924031511834,1,,0,1365.0,1.0,1968.0,['Ranch 1 Story'],Clearfield,1,1960's
18,single_family,single_family,090210015,1.0,286000.0,66101.0,0.32299600635426,1,,0,1432.0,1.0,1976.0,['Ranch 1 Story'],Clearfield,1,1970's
19,single_family,single_family,090210019,1.0,217000.0,109780.0,0.596183039055013,1,,0,1524.0,1.0,1943.0,['Ranch 1 Story'],Clearfield,1,1940's
20,single_family,single_family,090210065,1.0,233000.0,80230.0,0.417049478991259,1,,0,1455.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
21,single_family,single_family,090210076,1.0,329000.0,171978.0,1.21205403425915,2,,0,3290.0,2.0,1970.0,"['Barn', '2 Story']",Clearfield,1,1970's
22,single_family,single_family,090210078,1.0,177000.0,129746.0,0.740000335799357,1,,0,1002.0,1.0,1930.0,['Ranch 1 Story'],Clearfield,1,1930's
23,single_family,single_family,090220001,1.0,137000.0,86767.0,0.37900142517775,1,,0,998.0,1.0,1920.0,['Ranch 1 Story'],Clearfield,1,1920's
24,single_family,single_family,090220002,1.0,209000.0,68467.0,0.25717822869792,1,,0,960.0,1.0,1995.0,['Ranch 1 Story'],Clearfield,1,1990's
25,single_family,single_family,090220006,1.0,136000.0,48575.0,0.131783547967039,1,,0,1008.0,1.0,1940.0,['Ranch 1 Story'],Clearfield,1,1940's
26,single_family,single_family,090220007,1.0,154000.0,34876.0,7.37929103993537E-02,1,,0,765.0,1.0,1946.0,['Ranch 1 Story'],Clearfield,1,1940's
27,single_family,single_family,090220009,1.0,180000.0,52571.0,0.165247420196091,1,,0,884.0,1.0,1946.0,['Ranch 1 Story'],Clearfield,1,1940's
28,single_family,single_family,090220010,1.0,172000.0,101483.0,0.524164954259897,1,,0,624.0,1.0,1943.0,['Ranch 1 Story'],Clearfield,1,1940's
29,single_family,single_family,090220011,1.0,163000.0,81132.0,0.336498897573554,1,,0,878.0,1.0,1946.0,['Ranch 1 Story'],Clearfield,1,1940's
30,single_family,single_family,090220012,1.0,203000.0,80987.0,0.346777525226832,1,,0,1609.0,1.0,1940.0,['Ranch 1 Story'],Clearfield,1,1940's
31,single_family,single_family,090220015,1.0,201000.0,103801.0,0.518097505876991,2,,0,2233.0,1.0,1944.0,"['Ranch 1 Story', 'Barn']",Clearfield,1,1940's
32,single_family,single_family,090220017,1.0,205000.0,103203.0,0.44374551839517,1,,0,1340.0,1.0,1953.0,['Ranch 1 Story'],Clearfield,1,1950's
33,single_family,single_family,090220019,1.0,248000.0,89896.0,0.424749221457135,1,,0,1161.0,1.0,1962.0,['Ranch 1 Story'],Clearfield,1,1960's
34,single_family,single_family,090220024,1.0,144000.0,45852.0,0.134778128247143,1,,0,784.0,1.0,1951.0,['Ranch 1 Story'],Clearfield,1,1950's
35,single_family,single_family,090220025,1.0,203000.0,80698.0,0.341860449939389,1,,0,1120.0,1.0,1961.0,['Ranch 1 Story'],Clearfield,1,1960's
36,single_family,single_family,090220026,1.0,242000.0,58197.0,0.267415215874213,1,,0,1350.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
37,single_family,single_family,090220027,1.0,212000.0,69756.0,0.246580428652901,1,,0,1653.0,1.0,1962.0,['Ranch 1 Story'],Clearfield,1,1960's
38,single_family,single_family,090220033,1.0,220000.0,63477.0,0.217421136614293,1,,0,1332.0,1.0,1977.0,['Split Level'],Clearfield,1,1970's
39,single_family,single_family,090220107,1.0,150000.0,54492.0,0.173734003766569,1,,0,835.0,1.0,1950.0,['Ranch 1 Story'],Clearfield,1,1950's
40,single_family,single_family,090220119,1.0,451000.0,189762.0,1.67776970026044,1,,0,1734.0,1.0,2016.0,['Ranch 1 Story'],Clearfield,1,2010's
41,single_family,single_family,090220121,1.0,217000.0,77766.0,0.243888362105801,1,,0,2135.0,1.0,1955.0,['Ranch 1 Story'],Clearfield,1,1950's
42,single_family,single_family,090220148,1.0,233000.0,102235.0,0.504246097697389,1,,0,1130.0,1.0,1955.0,['Ranch 1 Story'],Clearfield,1,1950's
43,single_family,single_family,090220159,1.0,153000.0,81276.0,0.344206535213374,1,,0,641.0,1.0,1949.0,['Ranch 1 Story'],Clearfield,1,1940's
44,single_family,single_family,090220175,1.0,219000.0,97980.0,0.455212445757246,1,,0,1430.0,2.0,1942.0,['Ranch 1 Story'],Clearfield,1,1940's
45,single_family,single_family,090240001,1.0,241000.0,56147.0,0.207343718907603,1,,0,1225.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
46,single_family,single_family,090240002,1.0,217000.0,58200.0,0.181623614331835,1,,0,1175.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
47,single_family,single_family,090240003,3.0,711000.0,179985.0,0.204911777869006,1,,0,3645.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
48,single_family,single_family,090240004,1.0,228000.0,58200.0,0.181885342193246,1,,0,1503.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
49,single_family,single_family,090240005,1.0,202000.0,58200.0,0.183265698301652,1,,0,1125.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
50,single_family,single_family,090240006,1.0,246000.0,64841.0,0.252607592120348,1,,0,1296.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
51,single_family,single_family,090240007,2.0,466000.0,129682.0,0.224892802622351,1,,0,2400.0,1.0,1964.0,['Bi Level'],Clearfield,1,1960's
52,single_family,single_family,090240008,3.0,702000.0,210522.0,0.291642873902892,1,,0,3525.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
53,single_family,single_family,090240009,1.0,239000.0,64841.0,0.187939754261695,1,,0,1323.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
54,single_family,single_family,090240010,1.0,268000.0,59488.0,0.210199362941824,1,,0,1496.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
55,single_family,single_family,090240011,1.0,255000.0,59488.0,0.215163908760152,1,,0,1620.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
56,single_family,single_family,090240012,1.0,210000.0,64841.0,0.189107678103043,1,,0,1112.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
57,single_family,single_family,090240013,1.0,282000.0,66651.0,0.256754530785228,1,,0,1799.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
58,single_family,single_family,090240014,1.0,207000.0,62994.0,0.176839342465532,1,,0,1125.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
59,single_family,single_family,090240015,1.0,251000.0,64841.0,0.255569195486277,1,,0,1723.0,1.0,1970.0,['Ranch 1 Story'],Clearfield,1,1970's
60,single_family,single_family,090240016,1.0,222000.0,64841.0,0.196298158279521,1,,0,1296.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
61,single_family,single_family,090240017,1.0,273000.0,59488.0,0.215565996323381,1,,0,1175.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
62,single_family,single_family,090240018,2.0,576000.0,124894.0,0.222289008037636,1,,0,3388.0,1.0,1968.0,['Ranch 1 Story'],Clearfield,1,1960's
63,single_family,single_family,090240019,2.0,448000.0,123506.0,0.203340317469028,1,,0,2300.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
64,single_family,single_family,090240020,2.0,504000.0,124894.0,0.215702871490769,1,,0,2620.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
65,single_family,single_family,090240021,2.0,478000.0,126954.0,0.21330663852501,1,,0,2350.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
66,single_family,single_family,090240022,1.0,202000.0,56147.0,0.190542337326542,1,,0,1225.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
67,single_family,single_family,090240023,1.0,240000.0,56147.0,0.189625112175642,1,,0,1323.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
68,single_family,single_family,090240024,1.0,218000.0,58200.0,0.18355138881435,1,,0,1225.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
69,single_family,single_family,090240025,1.0,243000.0,58200.0,0.183646454900345,1,,0,1310.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
70,single_family,single_family,090240026,1.0,243000.0,58200.0,0.18485507698856,1,,0,1259.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
71,single_family,single_family,090240027,1.0,245000.0,58200.0,0.185784597951798,1,,0,1310.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
72,single_family,single_family,090240028,1.0,197000.0,57289.0,0.182408200716294,1,,0,1125.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
73,single_family,single_family,090240029,1.0,244000.0,58923.0,0.180925538065517,1,,0,1283.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
74,single_family,single_family,090240030,1.0,214000.0,58200.0,0.186046817780929,1,,0,1175.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
75,single_family,single_family,090240031,1.0,233000.0,58200.0,0.182858141199196,1,,0,1259.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
76,single_family,single_family,090240032,1.0,216000.0,58200.0,0.184168476872913,1,,0,1188.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
77,single_family,single_family,090240033,1.0,254000.0,58200.0,0.1836632245547,1,,0,1746.0,1.0,1963.0,['Ranch 1 Story'],Clearfield,1,1960's
78,single_family,single_family,090240034,1.0,222000.0,56147.0,0.18843261803872,1,,0,1175.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
79,single_family,single_family,090240035,1.0,220000.0,56147.0,0.189625624599693,1,,0,1175.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
80,single_family,single_family,090240036,2.0,486000.0,124894.0,0.218284266056008,1,,0,3106.0,1.0,1965.0,['Split Level'],Clearfield,1,1960's
81,single_family,single_family,090240037,2.0,512000.0,124894.0,0.206459561547864,1,,0,2976.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
82,single_family,single_family,090240038,2.0,490000.0,125238.0,0.218249153012328,1,,0,2700.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
83,single_family,single_family,090240040,2.0,466000.0,124894.0,0.214086737317118,1,,0,3178.0,1.0,1968.0,['Split Level'],Clearfield,1,1960's
84,single_family,single_family,090240041,1.0,281000.0,54424.0,0.183389402135321,1,,0,1175.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
85,single_family,single_family,090240042,1.0,276000.0,68428.0,0.283201313994915,1,,0,1586.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
86,single_family,single_family,090240043,1.0,218000.0,62994.0,0.203295633755052,1,,0,1125.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
87,single_family,single_family,090240044,1.0,248000.0,68428.0,0.287309844816037,1,,0,1416.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
88,single_family,single_family,090240045,1.0,258000.0,54424.0,0.180788355901559,1,,0,1553.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
89,single_family,single_family,090240046,1.0,235000.0,54250.0,0.176094844749962,1,,0,1296.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
90,single_family,single_family,090240047,2.0,478000.0,140694.0,0.34678284193922,1,,0,2450.0,1.0,1964.0,['Ranch 1 Story'],Clearfield,1,1960's
91,single_family,single_family,090240048,1.0,243000.0,64841.0,0.219272739543951,1,,0,1324.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
