OBJECTID,PROP_TYPE,FREQUENCY,COUNT_PROP_TYPE,SUM_PARCEL_ACRES
,119,5,5,0.489700296721061
,501,2,2,0.249824993841633
,511,698,698,142.115353893591077
,521,68,68,79.548205363307190
,535,1,1,0.780803600526939
,546,3,3,0.329736068239041
,557,1,1,0.499959242398811
,620,4,4,0.098601065478641
,651,17,17,1.357730989968899
,700,243,243,91.589409283059339
,701,278,278,314.314418074964976
,907,17,17,0.039779142907688
,910,2,2,0.674487728097075
,912,2,2,0.206235952381172
,922,33,33,8.945144931839270
,927,6,6,0.168618796106361
,952,8,8,29.976097263744482
,957,2198,2198,543.682076049008401
,990,2,2,0.123478909484343
